p188,pei,plga_502,plga_504,fr_mlmin,size_nm,pdi,zeta_pot
0,25,10,0,0.5,NA,NA,NA
0,125,10,0,0.5,50.82,0.141,57.8
0,125,10,0,0.5,50.67,0.149,57.6
0,125,10,0,0.5,50.68,0.15,57.6
0,125,10,0,0.5,51.11,0.123,58.2
0,125,10,0,1,56.86,0.136,52.1
0,125,10,0,1,57.23,0.136,50.2
0,125,10,0,1,56.78,0.138,45.1
0,125,10,0,1,56.56,0.132,60.8
0,25,10,0,1.5,NA,NA,NA
0,75,10,0,1.5,NA,NA,NA
0,125,10,0,1.5,52.12,0.133,51.6
0,125,10,0,1.5,52.14,0.149,51
0,125,10,0,1.5,52.29,0.127,54.5
0,125,10,0,1.5,51.94,0.123,49.3
4,25,10,0,0.5,NA,NA,NA
4,75,10,0,0.5,51.98,0.122,48.4
4,75,10,0,0.5,52.44,0.118,48.7
4,75,10,0,0.5,51.8,0.126,49.2
4,75,10,0,0.5,51.7,0.121,47.3
4,125,10,0,0.5,59.09,0.134,47.8
4,125,10,0,0.5,59.03,0.140,51.7
4,125,10,0,0.5,59.19,0.144,47.3
4,125,10,0,0.5,59.05,0.120,44.3
4,25,10,0,1,NA,NA,NA
4,75,10,0,1,48.4,0.134,44.6
4,75,10,0,1,48.84,0.124,46.1
4,75,10,0,1,48.66,0.145,43.4
4,75,10,0,1,47.7,0.132,44.2
4,25,10,0,1.5,157.3,0.059,-27.8
4,25,10,0,1.5,155.8,0.095,-28.3
4,25,10,0,1.5,157.8,0.068,-28.4
4,25,10,0,1.5,160.3,0.051,-29.3
4,125,10,0,1.5,57.87,0.159,41.7
4,125,10,0,1.5,57.82,0.146,40.5
4,125,10,0,1.5,57.89,0.164,44.3
4,125,10,0,1.5,57.91,0.166,40.4
0,25,0,10,0.5,129.1,0.083,46.9
0,25,0,10,0.5,129.6,0.078,45.4
0,25,0,10,0.5,129,0.069,47.2
0,25,0,10,0.5,128.6,0.102,48.1
0,75,0,10,0.5,63.64,0.134,45.4
0,75,0,10,0.5,63.63,0.134,45.2
0,75,0,10,0.5,63.85,0.131,45.9
0,75,0,10,0.5,63.42,0.132,45.7
0,125,0,10,0.5,103.4,0.094,56.2
0,125,0,10,0.5,103.2,0.093,56.6
0,125,0,10,0.5,103.7,0.097,57.1
0,125,0,10,0.5,103.1,0.093,54.8
0,25,0,10,1,122.1,0.105,53
0,25,0,10,1,124.1,0.105,53.5
0,25,0,10,1,122.7,0.11,51.7
0,25,0,10,1,119.5,0.101,53.7
0,75,0,10,1,93.08,0.085,54.2
0,75,0,10,1,92.52,0.109,54.98
0,75,0,10,1,93.8,0.061,53.62
0,75,0,10,1,92.91,0.087,54.55
0,25,0,10,1.5,116.6,0.075,46.8
0,25,0,10,1.5,117.5,0.075,48.2
0,25,0,10,1.5,116.1,0.073,45.7
0,25,0,10,1.5,116.1,0.095,46.6
0,125,0,10,1.5,104.5,0.104,50.3
0,125,0,10,1.5,106.1,0.1,48.8
0,125,0,10,1.5,105,0.105,49.8
0,125,0,10,1.5,102.4,0.108,52.3
4,25,0,10,0.5,112.5,0.083,47.5
4,25,0,10,0.5,112.8,0.075,46.4
4,25,0,10,0.5,112.9,0.107,46.6
4,25,0,10,0.5,111.7,0.067,49.5
4,125,0,10,0.5,108.5,0.097,52.2
4,125,0,10,0.5,108.8,0.076,52.6
4,125,0,10,0.5,108.4,0.123,54.9
4,125,0,10,0.5,108.4,0.093,49.2
4,125,0,10,1,114.5,0.097,63.8
4,125,0,10,1,114.7,0.082,61.1
4,125,0,10,1,115.1,0.109,65.5
4,125,0,10,1,113.7,0.1,64.8
4,25,0,10,1.5,157.5,0.099,28.4
4,25,0,10,1.5,156.1,0.079,29.6
4,25,0,10,1.5,157.5,0.126,28.3
4,25,0,10,1.5,158.8,0.093,27.1
4,75,0,10,1.5,93.84,0.089,37.4
4,75,0,10,1.5,93.96,0.076,35
4,75,0,10,1.5,93.73,0.089,38
4,75,0,10,1.5,93.84,0.101,39.3
4,125,0,10,1.5,113.7,0.095,46.8
4,125,0,10,1.5,114.8,0.085,47
4,125,0,10,1.5,113,0.115,47.3
4,125,0,10,1.5,113.1,0.085,46
